mp_identifier;mention_id;relation;description;pos;term_id;dep_rel;constituent_head
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_42;label;zich;pron;t_42;head;t_42
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;af_spelen;verb;t_36;head;t_36
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;hier;adv;t_35;hd/mod;t_35
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;leven;noun;t_39;hd/su;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;het;det;t_37;constituent;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;professioneel;adj;t_38;constituent;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;van;prep;t_40;constituent;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;Silvia;name;t_41;constituent;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;jaar;noun;t_46;hd/mod;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;de;det;t_43;constituent;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;afgelopen;adj;t_44;constituent;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;25;num;t_45;constituent;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_42;t_36;undergoer;af;part;t_47;hd/svp;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_41;t_41;label;Silvia;name;t_41;head;t_41
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_41;t_39;van-rol;leven;noun;t_39;head;t_39
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_41;t_39;van-rol;het;det;t_37;hd/det;t_37
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_41;t_39;van-rol;professioneel;adj;t_38;hd/mod;t_38
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_46;t_43;label;de;det;t_43;head;t_43
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_46;t_45;label;25;num;t_45;head;t_45
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_46;t_46;label;jaar;noun;t_46;head;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_46;t_44;property;afgelopen;adj;t_44;head;t_44
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_961;t_961;label;Soundcloud;name;t_961;head;t_961
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_961;t_955;op-rol;beluisteren;verb;t_955;head;t_955
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_871;t_871;label;ik;pron;t_871;head;t_871
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_871;t_872;property;nodig;verb;t_876;head;t_872
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_770;label;haar;det;t_770;head;t_770
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_772;label;Frans;name;t_772;head;t_772
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_771;label;vader;noun;t_771;head;t_771
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;vertellen;verb;t_777;head;t_777
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;ze;pron;t_769;hd/su;t_769
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;in;prep;t_773;hd/mod;t_773
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;aflevering;noun;t_776;constituent;t_773
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;de;det;t_774;constituent;t_773
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;laat;adj;t_775;constituent;t_773
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;dat;comp;t_778;hd/vc;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;willen;verb;t_780;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;ze;pron;t_779;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771;t_777;recipient;stoppen;verb;t_781;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_774;label;de;det;t_774;head;t_774
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_776;label;aflevering;noun;t_776;head;t_776
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_775;property;laat;adj;t_775;head;t_775
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;vertellen;verb;t_777;head;t_777
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;ze;pron;t_769;hd/su;t_769
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;vader;noun;t_771;hd/obj2;t_771
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;haar;det;t_770;constituent;t_771
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;Frans;name;t_772;constituent;t_771
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;dat;comp;t_778;hd/vc;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;willen;verb;t_780;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;ze;pron;t_779;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_776;t_777;in-rol;stoppen;verb;t_781;constituent;t_778
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_803;label;alle;det;t_803;head;t_803
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_804;label;begrip;noun;t_804;head;t_804
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;hebben;verb;t_802;head;t_802
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;hij;pron;t_801;hd/su;t_801
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;hebben;verb;t_807;dp/dp;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;hij;pron;t_806;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;zelf;adv;t_809;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;maken;verb;t_813;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;immers;adv;t_808;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;ook;adv;t_810;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;overstap;noun;t_812;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;de;det;t_811;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;van;prep;t_814;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;cameraman;noun;t_815;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;naar;prep;t_816;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_804;t_802;undergoer;programmamaker;noun;t_817;constituent;t_807
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_806;label;hij;pron;t_806;head;t_806
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;maken;verb;t_813;head;t_813
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;immers;adv;t_808;hd/mod;t_808
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;ook;adv;t_810;hd/mod;t_810
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;overstap;noun;t_812;hd/obj1;t_812
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;de;det;t_811;constituent;t_812
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;van;prep;t_814;hd/pc;t_814
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;cameraman;noun;t_815;constituent;t_814
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;naar;prep;t_816;hd/mod;t_816
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_806;t_813;agent;programmamaker;noun;t_817;constituent;t_816
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_779;t_779;label;ze;pron;t_779;head;t_779
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_779;t_780;agent;willen;verb;t_780;head;t_780
/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_779;t_780;agent;stoppen;verb;t_781;hd/vc;t_781
