mp_identifier;mention_id;relation;description;pos;term_id;dep_rel;constituent_head
../output_newsreader_coreferenced/nrc//a3954551t_42;t_41;label;de;det;t_41;head;t_41
../output_newsreader_coreferenced/nrc//a3954551t_42;t_42;label;vechter;noun;t_42;head;t_42
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;hebben;verb;t_46;head;t_46
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;misbruiken;verb;t_47;hd/vc;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;vechter;noun;t_42;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;de;det;t_41;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;december;noun;t_45;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;haar;det;t_43;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;afgelopen;adj;t_44;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;in;prep;t_48;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;hotel;noun;t_50;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;een;det;t_49;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;in;prep;t_51;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_46;agent;Dublin;name;t_52;constituent;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;misbruiken;verb;t_47;head;t_47
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;december;noun;t_45;hd/obj1;t_45
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;haar;det;t_43;constituent;t_45
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;afgelopen;adj;t_44;constituent;t_45
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;in;prep;t_48;hd/mod;t_48
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;hotel;noun;t_50;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;een;det;t_49;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;in;prep;t_51;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_42;t_47;agent;Dublin;name;t_52;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_45;t_43;label;haar;det;t_43;head;t_43
../output_newsreader_coreferenced/nrc//a3954551t_45;t_45;label;december;noun;t_45;head;t_45
../output_newsreader_coreferenced/nrc//a3954551t_45;t_44;property;afgelopen;adj;t_44;head;t_44
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;misbruiken;verb;t_47;head;t_47
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;vechter;noun;t_42;hd/su;t_42
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;de;det;t_41;constituent;t_42
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;in;prep;t_48;hd/mod;t_48
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;hotel;noun;t_50;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;een;det;t_49;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;in;prep;t_51;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_45;t_47;undergoer;Dublin;name;t_52;constituent;t_48
../output_newsreader_coreferenced/nrc//a3954551t_276;t_275;label;de;det;t_275;head;t_275
../output_newsreader_coreferenced/nrc//a3954551t_276;t_276;label;UFC_evenement;noun;t_276;head;t_276
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;geven;verb;t_273;head;t_273
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;die;pron;t_269;hd/su;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;geven;verb;t_273;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;die;pron;t_269;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;voor;prep;t_270;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;Veronica;name;t_271;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;commentaar;noun;t_272;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;bij;prep;t_274;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;UFC_evenement;noun;t_276;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;de;det;t_275;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;voor;prep;t_270;hd/mod;t_270
../output_newsreader_coreferenced/nrc//a3954551t_276;t_273;bij-rol;Veronica;name;t_271;constituent;t_270
../output_newsreader_coreferenced/nrc//a3954551t_272;t_272;label;commentaar;noun;t_272;head;t_272
../output_newsreader_coreferenced/nrc//a3954551t_272;t_273;undergoer;geven;verb;t_273;head;t_273
../output_newsreader_coreferenced/nrc//a3954551t_272;t_273;undergoer;die;pron;t_269;hd/su;t_269
../output_newsreader_coreferenced/nrc//a3954551t_272;t_273;undergoer;geven;verb;t_273;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_272;t_273;undergoer;die;pron;t_269;constituent;t_269
../output_newsreader_coreferenced/nrc//a3954551t_272;t_273;undergoer;voor;prep;t_270;constituent;t_269
