mp_identifier;mention_id;relation;description;pos;term_id;dep_rel;constituent_head
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_41;label;de;det;t_41;head;t_41
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_42;label;tv-chef;noun;t_42;head;t_42
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_132;label;de;det;t_132;head;t_132
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_133;label;tv-chef;noun;t_133;head;t_133
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;hebben;verb;t_46;head;t_46
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;misbruiken;verb;t_47;hd/vc;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;tv-chef;noun;t_42;constituent;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;de;det;t_41;constituent;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;december;noun;t_45;constituent;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;haar;det;t_43;constituent;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_46;agent;afgelopen;adj;t_44;constituent;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_47;agent;misbruiken;verb;t_47;head;t_47
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_47;agent;december;noun;t_45;hd/obj1;t_45
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_47;agent;haar;det;t_43;constituent;t_45
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_47;agent;afgelopen;adj;t_44;constituent;t_45
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_42;t_130;van-rol;bekend;adj;t_130;head;t_130
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_25;label;de;det;t_25;head;t_25
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_26;label;Ier;noun;t_26;head;t_26
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;bekend_maken;verb;t_27;head;t_27
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;dat;comp;t_28;hd/vc;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;stoppen;verb;t_30;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;hij;pron;t_29;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;met;prep;t_31;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;kook_programma;noun;t_34;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;zijn;det;t_32;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;populair;adj;t_33;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;Cook;name;t_35;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_26;t_27;agent;Out;name;t_36;constituent;t_28
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_21;t_21;label;dinsdag;noun;t_21;head;t_21
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_20;t_20;label;Times;name;t_20;head;t_20
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_43;label;haar;det;t_43;head;t_43
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_45;label;december;noun;t_45;head;t_45
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_49;label;hij;pron;t_49;head;t_49
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_84;label;ze;pron;t_84;head;t_84
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_102;label;haar;det;t_102;head;t_102
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_103;label;advocaat;noun;t_103;head;t_103
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_51;label;haar;pron;t_51;head;t_51
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_78;label;haar;pron;t_78;head;t_78
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;label;die;pron;t_94;head;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_92;label;de;det;t_92;head;t_92
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_93;label;commotie;noun;t_93;head;t_93
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_44;property;afgelopen;adj;t_44;head;t_44
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;hebben;verb;t_98;head;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;gebeurtenis;noun;t_96;constituent;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;deze;det;t_95;constituent;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;teweeg_brengen;verb;t_97;constituent;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;die;pron;t_94;constituent;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_98;property;hebben;verb;t_98;constituent;t_98
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;die;pron;t_94;head;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;hebben;verb;t_98;constituent;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;gebeurtenis;noun;t_96;constituent;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;deze;det;t_95;constituent;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;teweeg_brengen;verb;t_97;constituent;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_94;property;die;pron;t_94;constituent;t_94
/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a0000000t_45;t_47;undergoer;misbruiken;verb;t_47;head;t_47
