"mp_identifier";"mention_id";"relation";"description";"pos";"term_id";"dep_rel";"constituent_head";"docid";"gender_pron";"gender_api";"alias";"fullname";"ne_identifier"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_265";"label";"iets";"noun";"t_265";"head";"t_265";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_266";"property";"ander";"adj";"t_266";"head";"t_266";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_269";"undergoer";"doen";"verb";"t_269";"head";"t_269";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_274";"label";"ze";"pron";"t_274";"head";"t_274";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"De";"name";"t_287";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"Marion";"name";"t_280";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"Oskamp";"name";"t_281";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"aan";"prep";"t_279";"hd/mod";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"brand";"name";"t_288";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"de";"det";"t_285";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"eind_redacteur";"noun";"t_283";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"haar";"det";"t_275";"constituent";"t_276";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"het";"det";"t_290";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"horen";"verb";"t_278";"hd/svp";"t_278";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"in";"prep";"t_289";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"landhuis";"noun";"t_291";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"laten";"verb";"t_277";"head";"t_277";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"materiaal";"noun";"t_276";"hd/obj1";"t_276";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"podcasthit";"name";"t_286";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_274";"t_277";"agent";"van";"prep";"t_284";"constituent";"t_279";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_153";"label";"het";"det";"t_153";"head";"t_153";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_154";"label";"resultaat";"noun";"t_154";"head";"t_154";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_155";"property";"het";"det";"t_153";"constituent";"t_155";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_155";"property";"resultaat";"verb";"t_154";"head";"t_155";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_156";"label";"de";"det";"t_156";"head";"t_156";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_157";"property";"groot";"adj";"t_157";"head";"t_157";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_158";"label";"ommezwaai";"noun";"t_158";"head";"t_158";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_287";"label";"De";"name";"t_287";"head";"t_287";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_428";"van-rol";"het";"det";"t_427";"hd/det";"t_427";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_428";"van-rol";"maken";"verb";"t_428";"head";"t_428";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_430";"label";"de";"det";"t_430";"head";"t_430";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_431";"property";"groot";"adj";"t_431";"head";"t_431";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_432";"label";"ommezwaai";"noun";"t_432";"head";"t_432";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_572";"voor-rol";"spreken";"verb";"t_572";"head";"t_572";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_572";"voor-rol";"ze";"pron";"t_571";"hd/su";"t_571";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_574";"label";"de";"det";"t_574";"head";"t_574";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_575";"property";"groot";"adj";"t_575";"head";"t_575";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_576";"label";"ommezwaai";"noun";"t_576";"head";"t_576";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_579";"label";"ik";"pron";"t_579";"head";"t_579";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_581";"agent";"verwachten";"verb";"t_581";"head";"t_581";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_709";"label";"de";"det";"t_709";"head";"t_709";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_710";"property";"groot";"adj";"t_710";"head";"t_710";"coreferenced_a1111111";"female";NA;NA;NA;NA
