"mp_identifier";"alias"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_41";"Silvia"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_961";"Soundcloud"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_771";"Frans"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_367";"Frans"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_72";"VPRO"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_69";"Buren"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_755";"Silvia Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_756";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_15";"Ilpendam"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_525";"Turner"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_524";"Tina Turner"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_90";"Silvia"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_286";"podcasthit De brand"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_287";"De"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_280";"podcasthit De brand Marion Oskamp"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_281";"Oskamp"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_3";"Silvia Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_208";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_132";"Silvia Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_434";"Silvia"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_30";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_330";"Sylvia"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_336";"Frans"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_288";"brand"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_133";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_247";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_26";"Amsterdam"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_903";"Oost-Duitsland"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_495";"Bromet"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_659";"Hannah"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_554";"Baehr"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_552";"Katinka Baehr"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_55";"Silvia"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_58";"Frans"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_959";"iTunes"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_950";"Saar"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_957";"Spotify"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/a1111111t_4";"Bromet"
